Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Width,ATR,OBV
2020-03-12,573.9905962154143,575.7091309346221,539.1902681514557,542.3695678710938,13965574,652.7359802246094,655.08048828125,637.7479595200973,18.894388232873197,-19.75136208019967,-7.627083694682379,-12.12427838551729,0.23554914110935496,23.37515415925102,-13448849.0
2020-03-13,508.6862307304778,573.1312768534269,489.7823505344128,551.9503173828125,16903113,646.7769592285156,653.4564733886718,629.5767555070225,23.377121568347206,-23.97607576780922,-10.896882109307747,-13.079193658501474,0.2735833492417075,28.57678998525191,3454264.0
2020-03-16,534.4641732073311,534.5930842594579,498.3749525084438,501.0816650390625,19140152,637.793310546875,650.8520324707031,617.3391278434073,17.763373903214045,-31.070703194152316,-14.93164632627666,-16.139056867875656,0.33938701872142185,31.209836903251023,-15685888.0
2020-03-17,505.3351149516307,508.68627864387685,472.59704941576393,476.8504333496094,16059887,627.8472915649414,647.5687725830078,603.9592521773313,15.815125071802143,-38.20806563509939,-19.586930188041205,-18.621135447058183,0.4085209373091243,33.13705236315247,-31745775.0
2020-03-18,488.063759863952,496.6564316925427,453.6930725495892,459.1064453125,15390183,616.8851821899414,644.0535089111328,590.1637467616331,14.556126553555316,-44.78007154324496,-24.625558459081958,-20.154513084163,0.47425695460619766,34.92003093562043,-47135958.0
2020-03-19,437.5819480619953,479.4712361680773,437.5819480619953,468.7733459472656,16583991,606.0541198730468,640.9197607421875,578.6027562078838,18.36879883483742,-48.647616046930466,-29.429969976651662,-19.217646070278803,0.5169000036943793,37.26460744899628,-30551967.0
2020-03-20,472.16732098848996,530.5545370484156,470.87842020326207,502.8431701660156,21354894,596.8062515258789,638.6341082763672,571.3875575372297,30.19167377652589,-48.4055339848245,-33.225082778286236,-15.180451206538265,0.5299739763801,38.2527480837898,-9197073.0
2020-03-23,464.00435947172974,482.0060205736713,443.29603774017926,452.3612976074219,17146150,585.1825134277344,635.1781359863281,560.0517232582004,24.523961647588052,-51.691282499417525,-36.9183227225125,-14.772959776905026,0.5636915440321152,40.407034167014835,-26343223.0
2020-03-24,448.53744457240873,516.5484593013883,448.53744457240873,506.7957458496094,20027097,576.3299057006836,632.6286883544922,554.9797254097631,38.03248113283873,-49.33416329923011,-39.401490837856024,-9.93267246137409,0.5608103714538707,44.163262534456784,-6316126.0
2020-03-25,512.9827285211279,545.634895495672,486.0876646338329,520.8880004882812,18339548,568.0723526000977,629.7527227783203,551.73289446486,40.97762605863218,-45.801036338742165,-40.68139993803325,-5.119636400708913,0.5447680840119117,47.43768447164295,12023422.0
2020-03-26,528.4494251114769,559.2541389141585,525.9575287953459,552.5089111328125,14843813,562.0682266235351,627.4730865478516,551.8068008141888,47.057889385186975,-39.98850198678758,-40.54282034778412,0.5543183609965396,0.5222557820872101,48.8401216306682,26867235.0
2020-03-27,571.455741852175,579.9195567351105,551.8644567193235,560.8438110351562,13495283,556.6913650512695,625.4993499755859,552.6674684542809,48.562069696071205,-34.313920357157144,-39.29704034965873,4.983119992501585,0.4957481153421011,49.27895841982634,40362518.0
2020-03-30,537.1279485203846,570.1238326064855,533.6908794466455,538.5028076171875,14624804,552.1802169799805,623.0882440185546,551.3184531364625,44.8812028586658,-31.259169548399655,-37.689466189406915,6.43029664100726,0.4850325628589388,49.30658323437869,25737714.0
2020-03-31,558.5236808794696,568.8348872957059,544.5176359865167,551.2199096679688,15175521,547.9032089233399,620.9168743896485,551.309068044225,47.32856497910967,-27.495146733517117,-35.65060229822896,8.155455564711843,0.46674687615295357,49.30043838413149,40913235.0
2020-04-01,545.0761809299029,547.7828938542112,510.4047669794533,517.96630859375,13083824,541.7078903198242,618.0701214599609,548.1335671441798,42.0685039850639,-26.8854999216976,-33.89758182292269,7.012081901225088,0.44485160571576476,48.625296482633885,27829411.0
2020-04-03,518.567836244878,520.7160045806065,500.2224996359624,503.27288818359375,10221655,534.2730819702149,615.0317498779297,543.8611215288859,39.955441761560884,-27.273593649752343,-32.57278418828862,5.29919053853628,0.41069378828643566,44.13562352732175,17607756.0
2020-04-07,528.4494219139708,553.5829919806109,526.6449814514958,549.0718383789062,15145605,529.3065170288086,612.7770330810547,544.3573802765069,48.61863765119114,-23.61336799490141,-30.780900949611183,7.167532954709774,0.36314342616363293,43.90239059322521,32753361.0
2020-04-08,541.3384500046095,563.3786793044334,538.2021030858991,542.7132568359375,11806896,524.6944015502929,610.1519720458984,544.2007970916908,47.59197534586355,-20.983808895583707,-28.82148253880569,7.837673643221983,0.3151325147392272,43.12291537825531,20946465.0
2020-04-09,555.7741225382784,560.9297267407588,543.142881753098,546.7088623046875,11931114,521.7642990112305,607.634320678711,544.4396604453095,48.33033425723704,-18.365743536553282,-26.730334738355207,8.364591201801925,0.2851171036330152,41.355280432674434,32877579.0
2020-04-13,540.4791548766551,559.9845339121814,537.9443057438538,547.697021484375,8330276,519.6762802124024,605.2163446044922,544.7498853061729,48.523490086059766,-16.026428992647766,-24.589553589213722,8.563124596565956,0.2635959622051874,39.93749043712056,41207855.0
