Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Width,ATR,OBV
2020-03-12,378.1114380506276,379.0860987620606,355.3953624767476,365.80322265625,52726190,443.8043670654297,428.67209777832034,427.5344729364568,22.66030529615645,-12.958790925339372,-2.317304234784972,-10.6414866905544,0.29678087227930605,19.788944842403517,-17800090.0
2020-03-13,336.9698106413081,396.0864679927716,321.39966111199794,387.1773376464844,48499170,439.86057434082034,428.1450006103516,423.6909362421737,34.57853284851508,-14.398743629316982,-4.733592113691374,-9.665151515625608,0.3164074751153685,24.637501766713324,30699080.0
2020-03-16,375.5107737938677,375.5107737938677,352.6428625267582,359.72021484375,31404670,434.41369781494143,427.03993103027346,417.5984865851809,28.502227501882857,-17.55313524627752,-7.297500740208603,-10.255634506068917,0.35348373000573036,26.20197548101417,-705590.0
2020-03-17,362.6441598286682,365.83754609531564,333.2474823697232,337.44488525390625,25585480,427.9195129394531,425.59216735839846,409.9648102679166,24.70874934899365,-21.60143832945323,-10.158288258057528,-11.443150071395703,0.40392184084147503,28.069800311795028,-26291070.0
2020-03-18,341.86760444570626,345.7858577917888,295.7203900112908,299.8786315917969,54435800,419.5719329833984,423.7776531982422,399.48041229876236,19.898767887186338,-27.523753705791023,-13.631381347604227,-13.892372358186796,0.48396757026388926,31.153757086990463,-80726870.0
2020-03-19,274.27775542817517,299.0656004004598,243.39212223589428,268.9978942871094,83247130,409.7714553833008,421.32412109375,387.05350582146207,16.973655943646634,-34.313504014055866,-17.767805880894556,-16.54569813316131,0.5824785025116112,34.470179127119046,-163974000.0
2020-03-20,274.2630111546458,298.17905705435254,256.8072161892179,289.15728759765625,61101890,400.39231262207034,419.19109619140625,377.73005646681395,24.750354155493696,-37.633915142321655,-21.741027733179976,-15.892887409141679,0.6316488038518148,34.29754417531618,-102872110.0
2020-03-23,260.2454936065119,264.4821172571739,217.9528558878563,221.9837646484375,48442350,387.64276428222655,415.5694696044922,362.8970762936352,18.524154141591367,-45.165071957939745,-26.42583657813193,-18.739235379807816,0.7436032679669194,37.20345904390668,-151314460.0
2020-03-24,242.14808127154043,251.61555541649116,206.16381742396456,242.36358642578125,62572210,376.28603210449216,412.31507690429686,351.4176963062206,24.712195695337073,-48.92510850123773,-30.92569096275309,-17.99941753848464,0.8106554535667558,39.36619557117852,-88742250.0
2020-03-25,239.99303215794546,264.48211707202154,235.09521517513025,253.27590942382812,62263550,365.36741027832034,409.24052185058594,342.0708594602785,27.87109091920597,-50.442956283165586,-34.82914402683559,-15.613812256329993,0.8485702665899333,39.563508151621356,-26478700.0
2020-03-26,258.34025844499416,287.6487777476392,251.2629071148657,273.6606140136719,50961240,355.5459671020508,406.51795288085935,335.5555979891731,33.48543753564152,-49.431174477985735,-37.749550117065624,-11.681624360920111,0.8547049428159088,41.50199320565555,24482540.0
2020-03-27,289.4609603548168,297.78724855453237,244.89082940339833,249.0343780517578,71706090,344.738516998291,403.2750045776367,327.3154818046574,30.406282980712703,-50.03963576743638,-40.20756724713978,-9.832068520296602,0.8693110848617124,43.22182875022247,-47223550.0
2020-03-30,234.12053673634023,236.50577103571888,218.05080162242007,219.62789916992188,76983550,333.8971565246582,399.418518371582,317.0595215537302,27.19092610739287,-52.29191417262331,-42.62443663223649,-9.66747754038682,0.917882724232735,43.47091683891012,-124207100.0
2020-03-31,225.79914462715135,229.2178261328556,205.70830550384477,217.05165100097656,110431110,323.44056091308596,395.4880291748047,307.5349624534679,26.92232502004542,-53.66611318534797,-44.832771942858784,-8.833341242489183,0.9600027949330759,44.21328485455988,-234638210.0
2020-04-01,213.54480426315178,224.0163385701367,208.9065713341452,217.39938354492188,64083010,312.4951644897461,391.7192034912109,298.950621605035,27.027107254260528,-54.10344584781927,-46.68690672385088,-7.416539123968391,0.976600761532436,42.475956386078074,-170555200.0
2020-04-03,222.24334526823102,229.5802654458098,213.8435772957696,216.23861694335938,61726720,302.31309204101564,387.95452758789065,291.0732878277326,26.888510224594654,-53.92211867867991,-48.133949114816694,-5.788169563863214,0.9894899158402164,38.26523361959711,-232281920.0
2020-04-07,219.9119774397319,223.92819325148733,203.89611029774613,220.72991943359375,111614780,292.13861389160155,384.2726397705078,284.37391940924323,28.418081699906608,-52.80727561328217,-49.06861441450979,-3.738661198772384,0.9731828816849334,37.2293484648839,-120667140.0
2020-04-08,213.9366261632592,232.54832950894945,210.03306567945617,228.52232360839844,91093390,282.8672904968262,380.7786569213867,279.05471980916275,31.11096833212727,-50.71041446703708,-49.39697442501525,-1.3134400420218313,0.9372974471675242,36.50971990087681,-29573750.0
