Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Width,ATR,OBV
2020-03-12,509.1069356209674,511.4748748564138,475.2217309428317,483.6752624511719,59000770,559.0692337036132,579.3537115478516,551.3141688174179,14.756405429441685,-18.461536930270768,-11.922262967951596,-6.539273962319172,0.18544349677799044,16.803915320012717,-170791422.0
2020-03-13,464.13972221452224,512.1615082677355,435.32191586076743,506.6442565917969,66342364,554.8258880615234,577.3760107421875,547.0598914625969,30.16440931069296,-19.678477749552485,-13.473505924271773,-6.204971825280712,0.19639624815718856,21.75459633437606,-104449058.0
2020-03-16,490.16334873369306,491.11052428680165,471.2198376715213,473.3509826660156,31986322,549.0978408813477,574.6552484130859,540.0399953867319,23.526382664182933,-23.063538958174036,-15.391512531052225,-7.672026427121811,0.23028334837348247,23.706450090373842,-136435380.0
2020-03-17,477.37652201378086,478.3236976526971,452.1342970177646,461.79547119140625,42676838,543.3141464233398,571.8771807861328,532.588135939558,21.73830188684785,-26.374627271072313,-17.58813547905624,-8.786491792016072,0.2677750104513984,25.172887109436566,-179112218.0
2020-03-18,466.4840180328291,470.2727207173597,409.6534777648702,415.2891845703125,61181406,535.2572311401367,568.4289898681641,521.4168072377252,16.35181957310259,-32.37812243447212,-20.546132870139417,-11.831989564332702,0.33913920426599403,28.858417728291762,-240293624.0
2020-03-19,401.12886944187676,435.67710547774163,376.502303667405,424.1215515136719,67220048,527.7342895507812,564.9713244628906,512.150592406863,20.386564735422297,-36.00815777858327,-23.63853785182819,-12.369619926755078,0.3841428878863965,32.357893661542185,-173073576.0
2020-03-20,414.38934181029646,433.14340788887984,390.4968305499615,418.10699462890625,88637464,519.5802947998047,561.4246240234374,503.19405928515283,19.690069613259666,-38.921646899066616,-26.695159661275873,-12.226487237790742,0.4203115992114688,34.41123276535577,-261711040.0
2020-03-23,376.31286067374276,397.2217739590976,362.294673119177,365.39666748046875,50276954,509.0299407958984,556.690166015625,490.0704981608972,14.889181279945731,-44.96555596086978,-30.349238921194654,-14.616317039675124,0.4935505952941897,37.21385777189932,-311987994.0
2020-03-24,376.62070252521124,383.6061226600706,349.86299150015697,363.5733642578125,61057272,498.5577362060547,551.8122106933594,478.02315207488914,14.755162328411984,-49.333833050290764,-34.14615774701387,-15.18767530327689,0.5516440687844715,39.03717164548709,-373045266.0
2020-03-25,364.8757175147829,410.8137330098405,357.6771773468276,405.746337890625,47228042,490.4226806640625,547.7464587402344,471.13964596210207,30.367484100244724,-48.82983762485162,-37.082893722581424,-11.746943902270196,0.5682552232005725,41.185229581866615,-325817224.0
2020-03-26,412.0687471848041,444.0833008932357,398.2873532998881,426.7499694824219,57043156,483.36266632080077,544.0676300048829,466.9120577259421,36.59569098776445,-46.20300065315513,-38.90691510869617,-7.296085544458961,0.5672492613334658,43.70370226177781,-268774068.0
2020-03-27,447.51679250707997,468.2125849223154,413.0159043103058,428.33648681640625,55235936,476.3772445678711,540.4702569580078,463.2381938297958,37.05368140568618,-43.49184778939235,-39.82390164483541,-3.667946144556943,0.5588216921880664,45.943091879508565,-213538132.0
2020-03-30,416.75727302870723,420.0723877005265,392.13070689519276,393.85931396484375,39268444,468.1841751098633,536.1511358642579,456.6306814617052,31.695612708447413,-43.62240736532226,-40.58360278893278,-3.038804576389481,0.5647022425093795,46.164663909155266,-252806576.0
2020-03-31,404.3492849888451,413.7263182768991,396.8666030278932,408.18536376953125,35211092,460.6612380981445,532.2085162353516,452.0168416814982,35.84682158441643,-42.08475739206921,-40.883833709560065,-1.200923682509142,0.5538141839855516,46.63656004225639,-217595484.0
